Time,Temperature,ProcessTemperature,AgentType,AgentFlow,SampleType,CatalystType,CatalystRatio,Hydrogen,Experiment_Group
33,700,700,Air,0.05,TWTS,Marble dust,20.0,20.0,56
34,700,700,Air,0.05,TWTS,Marble dust,20.0,22.0,56
35,700,700,Air,0.05,TWTS,Marble dust,20.0,23.0,56
36,700,700,Air,0.05,TWTS,Marble dust,20.0,23.0,56
37,700,700,Air,0.05,TWTS,Marble dust,20.0,22.0,56
38,700,700,Air,0.05,TWTS,Marble dust,20.0,22.0,56
39,700,700,Air,0.05,TWTS,Marble dust,20.0,23.0,56
40,700,700,Air,0.05,TWTS,Marble dust,20.0,24.0,56
41,700,700,Air,0.05,TWTS,Marble dust,20.0,25.0,56
42,700,700,Air,0.05,TWTS,Marble dust,20.0,24.0,56
43,700,700,Air,0.05,TWTS,Marble dust,20.0,24.0,56
44,700,700,Air,0.05,TWTS,Marble dust,20.0,24.0,56
45,700,700,Air,0.05,TWTS,Marble dust,20.0,25.0,56
46,700,700,Air,0.05,TWTS,Marble dust,20.0,26.0,56
47,700,700,Air,0.05,TWTS,Marble dust,20.0,26.0,56
48,700,700,Air,0.05,TWTS,Marble dust,20.0,26.0,56
49,700,700,Air,0.05,TWTS,Marble dust,20.0,25.0,56
50,700,700,Air,0.05,TWTS,Marble dust,20.0,25.0,56
51,700,700,Air,0.05,TWTS,Marble dust,20.0,26.0,56
52,700,700,Air,0.05,TWTS,Marble dust,20.0,26.0,56
53,700,700,Air,0.05,TWTS,Marble dust,20.0,25.0,56
54,700,700,Air,0.05,TWTS,Marble dust,20.0,24.0,56
55,700,700,Air,0.05,TWTS,Marble dust,20.0,23.0,56
56,700,700,Air,0.05,TWTS,Marble dust,20.0,22.0,56
57,700,700,Air,0.05,TWTS,Marble dust,20.0,21.0,56
58,700,700,Air,0.05,TWTS,Marble dust,20.0,20.0,56
59,700,700,Air,0.05,TWTS,Marble dust,20.0,19.0,56
60,700,700,Air,0.05,TWTS,Marble dust,20.0,18.0,56
61,700,700,Air,0.05,TWTS,Marble dust,20.0,17.0,56
62,700,700,Air,0.05,TWTS,Marble dust,20.0,16.0,56
63,700,700,Air,0.05,TWTS,Marble dust,20.0,16.0,56
64,700,700,Air,0.05,TWTS,Marble dust,20.0,15.0,56
65,700,700,Air,0.05,TWTS,Marble dust,20.0,15.0,56
66,700,700,Air,0.05,TWTS,Marble dust,20.0,14.0,56
67,700,700,Air,0.05,TWTS,Marble dust,20.0,14.0,56
68,700,700,Air,0.05,TWTS,Marble dust,20.0,13.0,56
69,700,700,Air,0.05,TWTS,Marble dust,20.0,13.0,56
70,700,700,Air,0.05,TWTS,Marble dust,20.0,13.0,56
71,700,700,Air,0.05,TWTS,Marble dust,20.0,12.0,56
72,700,700,Air,0.05,TWTS,Marble dust,20.0,12.0,56
73,700,700,Air,0.05,TWTS,Marble dust,20.0,12.0,56
74,700,700,Air,0.05,TWTS,Marble dust,20.0,12.0,56
75,700,700,Air,0.05,TWTS,Marble dust,20.0,12.0,56
1,10,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
2,11,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
3,12,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
4,16,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
5,25,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
6,48,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
7,70,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
8,102,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
9,140,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
10,185,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
11,290,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
12,350,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
13,402,700,Air,0.05,TWTS,No Catalyst,0.0,0.0,53
14,453,700,Air,0.05,TWTS,No Catalyst,0.0,1.0,53
15,513,700,Air,0.05,TWTS,No Catalyst,0.0,1.0,53
16,540,700,Air,0.05,TWTS,No Catalyst,0.0,1.0,53
17,575,700,Air,0.05,TWTS,No Catalyst,0.0,1.0,53
18,617,700,Air,0.05,TWTS,No Catalyst,0.0,1.0,53
19,632,700,Air,0.05,TWTS,No Catalyst,0.0,1.0,53
20,656,700,Air,0.05,TWTS,No Catalyst,0.0,2.0,53
21,680,700,Air,0.05,TWTS,No Catalyst,0.0,3.0,53
22,700,700,Air,0.05,TWTS,No Catalyst,0.0,5.0,53
