Time;Temperature;ProcessTemperature;AgentType;AgentFlow;SampleType;CatalystType;CatalystRatio;Hydrogen
18;575;700;Air;0.2;TWTS;No Catalyst;0;1
19;617;700;Air;0.2;TWTS;No Catalyst;0;1
20;632;700;Air;0.2;TWTS;No Catalyst;0;2
21;656;700;Air;0.2;TWTS;No Catalyst;0;4
22;680;700;Air;0.2;TWTS;No Catalyst;0;6
23;700;700;Air;0.2;TWTS;No Catalyst;0;9
24;700;700;Air;0.2;TWTS;No Catalyst;0;11
25;700;700;Air;0.2;TWTS;No Catalyst;0;13
26;700;700;Air;0.2;TWTS;No Catalyst;0;13
27;700;700;Air;0.2;TWTS;No Catalyst;0;12
28;700;700;Air;0.2;TWTS;No Catalyst;0;12
29;700;700;Air;0.2;TWTS;No Catalyst;0;12
30;700;700;Air;0.2;TWTS;No Catalyst;0;12
31;700;700;Air;0.2;TWTS;No Catalyst;0;11
32;700;700;Air;0.2;TWTS;No Catalyst;0;11
33;700;700;Air;0.2;TWTS;No Catalyst;0;11
34;700;700;Air;0.2;TWTS;No Catalyst;0;11
35;700;700;Air;0.2;TWTS;No Catalyst;0;10
36;700;700;Air;0.2;TWTS;No Catalyst;0;10
37;700;700;Air;0.2;TWTS;No Catalyst;0;10
39;700;700;Air;0.2;TWTS;No Catalyst;0;10
40;700;700;Air;0.2;TWTS;No Catalyst;0;10
1;10;700;Air;0.3;TWTS;No Catalyst;0;0
2;11;700;Air;0.3;TWTS;No Catalyst;0;0
3;12;700;Air;0.3;TWTS;No Catalyst;0;0
4;16;700;Air;0.3;TWTS;No Catalyst;0;0
5;25;700;Air;0.3;TWTS;No Catalyst;0;0
6;48;700;Air;0.3;TWTS;No Catalyst;0;0
7;70;700;Air;0.3;TWTS;No Catalyst;0;0
8;102;700;Air;0.3;TWTS;No Catalyst;0;0
9;140;700;Air;0.3;TWTS;No Catalyst;0;0
10;185;700;Air;0.3;TWTS;No Catalyst;0;0
11;290;700;Air;0.3;TWTS;No Catalyst;0;0
12;350;700;Air;0.3;TWTS;No Catalyst;0;0
13;402;700;Air;0.3;TWTS;No Catalyst;0;0
14;453;700;Air;0.3;TWTS;No Catalyst;0;0
15;513;700;Air;0.3;TWTS;No Catalyst;0;0
16;540;700;Air;0.3;TWTS;No Catalyst;0;1
17;575;700;Air;0.3;TWTS;No Catalyst;0;1
18;617;700;Air;0.3;TWTS;No Catalyst;0;1
19;632;700;Air;0.3;TWTS;No Catalyst;0;1
20;656;700;Air;0.3;TWTS;No Catalyst;0;1
21;680;700;Air;0.3;TWTS;No Catalyst;0;2
22;700;700;Air;0.3;TWTS;No Catalyst;0;3
23;700;700;Air;0.3;TWTS;No Catalyst;0;5
24;700;700;Air;0.3;TWTS;No Catalyst;0;7
25;700;700;Air;0.3;TWTS;No Catalyst;0;9
26;700;700;Air;0.3;TWTS;No Catalyst;0;11
27;700;700;Air;0.3;TWTS;No Catalyst;0;13
28;700;700;Air;0.3;TWTS;No Catalyst;0;12
29;700;700;Air;0.3;TWTS;No Catalyst;0;11
30;700;700;Air;0.3;TWTS;No Catalyst;0;10
31;700;700;Air;0.3;TWTS;No Catalyst;0;9
32;700;700;Air;0.3;TWTS;No Catalyst;0;9
33;700;700;Air;0.3;TWTS;No Catalyst;0;9
34;700;700;Air;0.3;TWTS;No Catalyst;0;9
35;700;700;Air;0.3;TWTS;No Catalyst;0;8
36;700;700;Air;0.3;TWTS;No Catalyst;0;6
37;700;700;Air;0.3;TWTS;No Catalyst;0;5
38;700;700;Air;0.3;TWTS;No Catalyst;0;4
39;700;700;Air;0.3;TWTS;No Catalyst;0;4
40;700;700;Air;0.3;TWTS;No Catalyst;0;4
41;700;700;Air;0.3;TWTS;No Catalyst;0;4
42;700;700;Air;0.3;TWTS;No Catalyst;0;3
1;10;700;Air;0.4;TWTS;No Catalyst;0;0
2;11;700;Air;0.4;TWTS;No Catalyst;0;0
3;12;700;Air;0.4;TWTS;No Catalyst;0;0
4;16;700;Air;0.4;TWTS;No Catalyst;0;0
5;25;700;Air;0.4;TWTS;No Catalyst;0;0
6;48;700;Air;0.4;TWTS;No Catalyst;0;0
7;70;700;Air;0.4;TWTS;No Catalyst;0;0
8;102;700;Air;0.4;TWTS;No Catalyst;0;0
9;140;700;Air;0.4;TWTS;No Catalyst;0;0
10;185;700;Air;0.4;TWTS;No Catalyst;0;0
11;290;700;Air;0.4;TWTS;No Catalyst;0;0
12;350;700;Air;0.4;TWTS;No Catalyst;0;0
13;402;700;Air;0.4;TWTS;No Catalyst;0;1
14;453;700;Air;0.4;TWTS;No Catalyst;0;1
15;513;700;Air;0.4;TWTS;No Catalyst;0;1
16;540;700;Air;0.4;TWTS;No Catalyst;0;1
17;575;700;Air;0.4;TWTS;No Catalyst;0;1
18;617;700;Air;0.4;TWTS;No Catalyst;0;2
19;632;700;Air;0.4;TWTS;No Catalyst;0;3
20;656;700;Air;0.4;TWTS;No Catalyst;0;5
21;680;700;Air;0.4;TWTS;No Catalyst;0;7
22;700;700;Air;0.4;TWTS;No Catalyst;0;10
23;700;700;Air;0.4;TWTS;No Catalyst;0;11
24;700;700;Air;0.4;TWTS;No Catalyst;0;10
25;700;700;Air;0.4;TWTS;No Catalyst;0;8
26;700;700;Air;0.4;TWTS;No Catalyst;0;7
27;700;700;Air;0.4;TWTS;No Catalyst;0;7
28;700;700;Air;0.4;TWTS;No Catalyst;0;8
29;700;700;Air;0.4;TWTS;No Catalyst;0;8
30;700;700;Air;0.4;TWTS;No Catalyst;0;7
31;700;700;Air;0.4;TWTS;No Catalyst;0;6
32;700;700;Air;0.4;TWTS;No Catalyst;0;5
33;700;700;Air;0.4;TWTS;No Catalyst;0;4
34;700;700;Air;0.4;TWTS;No Catalyst;0;4
35;700;700;Air;0.4;TWTS;No Catalyst;0;4
36;700;700;Air;0.4;TWTS;No Catalyst;0;3
37;700;700;Air;0.4;TWTS;No Catalyst;0;3
1;10;800;Air;0.05;TWTS;No Catalyst;0;0
2;11;800;Air;0.05;TWTS;No Catalyst;0;0
3;12;800;Air;0.05;TWTS;No Catalyst;0;0
4;16;800;Air;0.05;TWTS;No Catalyst;0;0
5;25;800;Air;0.05;TWTS;No Catalyst;0;0
6;48;800;Air;0.05;TWTS;No Catalyst;0;0
7;70;800;Air;0.05;TWTS;No Catalyst;0;0
